job_title;company;location;salary_preview;date_posted_relative;url;short_description
Kommunikation;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bskills%3b83923&fsk=83923;
Buchhaltung;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdisciplines%3bBuchhaltung&di=Buchhaltung;
Vollzeit;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/vollzeit/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworktypes%3b80001;
;Rosenxt Group;Dresden;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/rosenxt-group-349239/jobs;
;Qnit AG;München, Berlin;;vor 3 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/qnit-ag-167534/jobs;
;ifm-Unternehmensgruppe;Tettnang;;vor 3 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ifm-unternehmensgruppe-1768/jobs;
;FERCHAU – Connecting People and Technologies;Friedrichshafen;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ferchau-%e2%80%93-connecting-people-and-technologies-6095/jobs;
;SEG System-EDV und Organisationsgesellschaft mbH;bundesweit, Home-Office;;vor 1 Monat;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/seg-system-edv-und-organisationsgesellschaft-mbh-112145/jobs;
;Ratbacher GmbH;Hagen, Wiesbaden, Aachen, Frankfurt, Essen, Berlin, Stuttgart;;vor 3 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ratbacher-gmbh-46710/jobs;
;Reply;Hamburg, Köln, Frankfurt am Main, München, Münster;;vor 8 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/reply-121954/jobs;
;Rohde & Schwarz GmbH & Co. KG;Dresden;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/rohde-%26-schwarz-gmbh-%26-co-kg-31586/jobs;
