
=== Repeated SOFT skill words by experience level ===

Word	Entry	Advanced	Total
collaboration	43	271	314
communication	26	184	210
ownership	25	176	201
analytical	10	42	52
thinking	10	42	52
teamwork	6	30	36
self-organization	5	29	34
leadership	5	61	66
problem	3	8	11
solving	3	8	11
stakeholder	1	61	62
management	1	61	62
